epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,208.589,1.0376,0.53705,1.11468,0.97034,1,0.96889,0.69285,1.13228,0.41666,1.0175,0.00100208,0.00100208,0.00100208
128,210.233,0.99746,0.49016,1.06024,0.97046,1,0.97222,0.7083,1.12958,0.4179,1.02347,0.00099416,0.00099416,0.00099416
129,211.886,1.06279,0.49009,1.07824,0.97844,1,0.995,0.71412,1.12202,0.42354,1.02477,0.00098624,0.00098624,0.00098624
130,213.549,0.98368,0.49947,1.05658,0.97024,1,0.99444,0.73084,1.09025,0.40953,1.00931,0.00097832,0.00097832,0.00097832
131,215.218,1.05937,0.5087,1.11754,0.99764,1,0.995,0.73015,1.08355,0.41286,1.01017,0.0009704,0.0009704,0.0009704
132,216.921,0.99323,0.51138,1.06474,0.9703,1,0.98556,0.70372,1.09962,0.41048,1.01911,0.00096248,0.00096248,0.00096248
133,218.606,0.9958,0.48888,1.05683,0.97042,1,0.98,0.69855,1.13687,0.42384,1.03703,0.00095456,0.00095456,0.00095456
134,220.288,1.04842,0.54043,1.11785,0.9705,1,0.99028,0.65641,1.19468,0.4355,1.06376,0.00094664,0.00094664,0.00094664
135,221.949,0.9767,0.50996,1.03431,0.97047,1,0.98889,0.68956,1.16834,0.42922,1.04383,0.00093872,0.00093872,0.00093872
136,223.585,0.95708,0.52588,1.04585,0.97044,1,0.97833,0.69557,1.13875,0.43053,1.02762,0.0009308,0.0009308,0.0009308
137,225.223,0.9813,0.48181,1.06212,0.97043,1,0.97056,0.66336,1.18683,0.43213,1.03696,0.00092288,0.00092288,0.00092288
138,226.884,1.01198,0.47278,1.07581,0.97044,1,0.97694,0.69496,1.12202,0.41372,1.02192,0.00091496,0.00091496,0.00091496
139,228.529,0.97339,0.477,1.04988,0.97041,1,0.98472,0.70485,1.12045,0.41958,1.01662,0.00090704,0.00090704,0.00090704
140,230.17,1.04156,0.55013,1.08021,0.97053,1,0.98806,0.72193,1.09174,0.43211,1.00543,0.00089912,0.00089912,0.00089912
141,231.833,0.98946,0.49684,1.05008,0.97051,1,0.99444,0.72169,1.13987,0.43512,1.0239,0.0008912,0.0008912,0.0008912
142,233.482,1.09954,0.69921,1.17737,0.97018,1,0.99194,0.70881,1.1397,0.44449,1.01815,0.00088328,0.00088328,0.00088328
